symbol,companyName,companyNameEng,shortName,foundDate,phone,email,vnAddress,website,industryName,floor,listedDate,vnSummary
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông ,Art Design & Communication Joint Stock Company,Mĩ thuật & Tr.thông,2007-09-13,+84 (24) 35121569,info@adc.net.vn,"187B Giảng Võ, Cát Linh, Đống Đa, Hà Nội, Việt Nam",adc.net.vn,Hoạt động xuất bản,HNX,2010-12-24,"
Công ty Cổ phần Mĩ thuật và Truyền thông được thành lập vào năm 2007 với vốn điều lệ là 10 tỷ đồng. Năm 2010, cổ phiếu của công ty chính thức được niêm yết trên sàn HNX. Tới năm 2013, công ty tăng vốn điều lệ lên 15 tỷ đồng. Công ty hoạt động trong lĩnh vưc thiết kế, chế bản sách, phát hành sách và bán lẻ sách và thiết bị giáo dục. Mảng bán lẻ của công ty có mức doanh thu ổn định hàng năm, chiếm gần 14% tổng doanh thu và gần 3% lợi nhuận. Năm 2010, dây chuyền sản xuất tem chống giả cho NXBGDVN được đưa vào hoạt động. Công ty đang mở rộng hệ thống bán lẻ sách và thiết bị giáo dục. "
ADG,Công ty Cổ phần Clever Group,Clever Group Corporation,CTCP Clever Group,2008-08-04,+84 (24) 73046066,contact@cleverads.vn,"Tầng 3, nhà G1, toà nhà Five Star số 2 Kim Giang, phường Kim Giang, quận Thanh Xuân, Hà Nội, Việt Nam",https://clevergroup.vn/,Các hãng truyền thông,HOSE,2021-02-22,
ADS,Công ty Cổ phần Damsan,Damsan Joint stock company,CTCP Damsan,2006-06-12,+84 (227) 3642311,phongketoandamsan@gmail.com,"Lô A4, đường Bùi Viện, Khu công nghiệp Nguyễn Đức Cảnh, phường Trần Hưng Đạo, thành phố Thái Bình, Thái Bình, Việt Nam",www.damsanjsc.vn,Hóa chất cơ bản,HOSE,2016-06-29,"Công ty Cổ phần Damsan (ADS) có tiền thân là Công ty Cổ phần Dệt sợi Damsan được thành lập vào năm 2006. Công ty hoạt động chính trong lĩnh vực: (i) Kinh doanh các loại bông nguyên liệu nhập khẩu; (ii) Sản xuất và xuất khẩu sợi OE, sợi CD, và sợi SE; (iii) Sản xuất kinh doanh và xuất khẩu khăn bông cao cấp, khăn ăn. ADS trở thành công ty đại chúng từ năm 2011. Công ty hiện đang quản lý vận hành 03 nhà máy dệt sợi với tổng công suất 16.560 tấn sợi/năm và 2.040 tấn khăn/năm. Bên cạnh đó, Công ty còn tham gia đầu tư phát triển và kinh doanh bất động sản nhà ở và hạ tầng khu công nghiệp với các dự án Tòa Nhà Dam San - Quang Trung tại Phường Quang Trung - Thành phố Thái Bình, Khu đô thị Phú Xuân - Damsan tại Thành phố Thái Bình và Cụm công nghiệp An Ninh tại xã An Ninh, huyện Tiền Hải, tỉnh Thái Bình. ADS được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ tháng 06/2016."
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,An Gia Real Estate Investment and Development Corporation,Bất động sản An Gia,2012-01-18,+84 (28) 39303366,info@angia.com.vn,"30 Nguyễn Thị Diệu, Phường 06, quận 03, TP Hồ Chí Minh, Việt Nam",www.angia.com.vn,Đầu tư và phát triển bất động sản,HOSE,2020-01-09,"CTCP Đầu tư và phát triển bất động sản An Gia được thành lập từ năm 2006, khởi đầu hoạt động chủ yếu trong lĩnh vực tư vấn, môi giới, cung cấp dịch vụ bất động sản cho cá nhân và chủ đầu tư. Đến năm 2012, An Gia  phát triển thành công ty chuyên đầu tư và phát triển các dự án nhà ở, căn hộ tập trung tại Tp.HCM, Phan Thiết và Đồng Nai.. Công ty được chính thức niêm yết trên sàn HOSE từ ngày 17/12/2019. Sau hơn 10 năm hình thành và phát triển, Công ty đã phát triển mạnh mẽ với vốn điều lệ đạt 750 tỷ đồng"
AGM,Công ty Cổ phần xuất nhập khẩu An Giang,An Giang import export joint stock company,CTCP XNK An Giang,2008-01-01,+84 (296) 3842620,bqhcd@angimex.com.vn,"Số 01 Ngô Gia Tự, P Mỹ Long, TP Long Xuyên, An Giang, Việt Nam",angimex.com.vn,Sản xuất thực phẩm,HOSE,2012-12-14,"Công ty Cổ phần Xuất nhập khẩu An Giang (AGM) có tiền thân là Công ty Ngoại thương An Giang được thành lập vào năm 1976. Từ năm 2008, Công ty chuyển sang hoạt động theo mô hình công ty cổ phần. Hoạt động kinh doanh của Công ty tập trung ở 2 lĩnh vực chính: lương thực và xe gắn máy Honda Việt Nam. Trong đó kinh doanh lương thực vẫn là lĩnh vực chủ lực, chiếm tỷ trọng doanh thu cao nhất qua các năm. Năng lực sản xuất của Công ty đạt khoảng 250.000 tấn gạo/năm. Sản phẩm gạo của Công ty được xuất khẩu đi các thị trường Châu Á, Châu Phi và Châu Âu. AGM được niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2012."
AGR,Công ty Cổ phần Chứng khoán Agribank,AGRIBANK SECURITIES CORPORATION,Chứng khoán Agribank,2009-07-10,+84 (24) 62762666,agriseco@agriseco.com.vn,"Tầng 5 tòa nhà Artex, số 172 Ngọc Khánh, Ba Đình, Hà Nội, Việt Nam",www.agriseco.com.vn,Dịch vụ đầu tư,HOSE,2009-12-10,"Công ty Cổ phần Chứng khoán AGRIBANK (AGR) có tiền thân là Công ty TNHH Chứng khoán Ngân hàng Nông nghiệp và Phát triển nông thông Việt Nam trực thuộc Ngân hàng Nông nghiệp và Phát triển nông thông Việt Nam được thành lập vào năm 2000. Công ty chính thức hoạt động theo hình thức công ty cổ phần từ tháng 07/2009. AGR hiện đang sở hữu mạng lưới lớn nhất với 3 chi nhánh, 4 phòng giao dịch, 47 cơ sở phát triển dịch vụ trên thị trường chứng khoán Việt Nam. Trong năm 2018, AGR đạt 182,8 tỷ đồng doanh thu, và 84, 8 tỷ đồng trước thuế. Tính tới ngày 31/12/2018, Công ty có 1.917 tỷ đồng tổng tài sản, trong đó 97,5 là vốn chủ sở hữu. AGR được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2009."
ALT,Công ty Cổ phần văn hoá Tân Bình ,Alta Company,Văn hoá Tân Bình,1998-08-31,+84 (28) 38162884,alta@alta.com.vn,"Lô II - 3 nhóm công nghiệp 2, đường số 11, đường số 08, khu công nghiệp Tân Bình, phường Tây Thạnh, quận Tân Phú, TP Hồ Chí Minh, Việt Nam",www.alta.com.vn,Hoạt động xuất bản,HNX,2009-07-27,"
Công ty Cổ phần Văn hóa Tân Bình thành lập năm 1989 và chuyển sang hoạt động theo mô hình cổ phần năm 1998. Công ty chuyên sản xuất các sản phẩm in ấn và các mặt hàng sản phẩm bao bì túi xốp, hạt nhựa cung cấp cho các doanh nghiệp sản xuất khác. Công suất đạt khoảng 9 tỷ trang. Đối với các sản phẩm ngành nhựa, thị trường tiêu thụ là: Châu Âu, Mỹ, Bắc Mỹ, Châu Úc, Nhật và các doanh nghiệp trong nước. Thị trường tiêu thụ sản phẩm của công ty: Sản phẩm in ấn, chế bản, băng đĩa nhạc: Khu vực thành phố Hồ Chí Minh, các tỉnh Miền Đông Nam bộ và Đồng Bằng Sông Cửu Long. Riêng thị trường băng đĩa nhạc được phân phối trên toàn quốc. Khăn giấy: được phân phối trên toàn quốc thông qua các kênh bán sỉ null; lẻ. Ngành hóa chất nhựa: Singapore, Thái Lan, Indonesia, Malaysia, Việt Nam. Hiện tại công ty đang sở hữu 3 công ty con, 2 công ty liên kết, 5 xí nghiệp, 4 trung tâm, 2 rạp chiếu phim, 1 nhà hàng, đại lý chứng khoán và Khu dịch vụ vui chơi giải trí."
AMC,Công ty Cổ phần Khoáng sản Á Châu,Asia Mineral Join Stock Company,K.sản Á Châu,2007-12-28,+84 (238) 3791777,amc@amcvina.vn,"Lô 32C, KCN Nam Cấm, Nghi Lộc, Nghệ An, Việt Nam",www.new.amcvina.vn,Khai khoáng nói chung,HNX,2012-02-15,"Công ty Cổ phần Khoáng sản Á Châu (AMC) có tiền thân là Xí nghiệp Khai khoáng được thành lập vào năm 2001. Công ty hoạt động trong lĩnh vực hoạt động chính là khai thác, sản xuất, mua bán và xuất khẩu các sản phẩm khoáng sản. Sản phẩm chủ yếu của công ty là CaCO3 siêu mịn cao cấp có tráng phủ và không trang phủ để làm phụ gia cho các ngành công nghiệp sơn, nhựa, giấy, cao su. Sản phẩm của công ty chủ yếu tiêu thụ tại thị trường nội địa, riêng sản phẩm đá chip (đá sơ chế chất lượng cao) chủ yếu phục vụ xuất khẩu sang thị trường Hàn Quốc, Nhật bản, Ấn độ, Thổ Nhĩ Kỳ, Tây Ban Nha."
AMD,Công ty cổ phần đầu tư và khoáng sản FLC Stone,FLC STONE MINING AND INVESTMENT JOINT STOCK COMPANY,Đầu tư K.sản FLC,2007-09-20,+84 (24) 32929222,info@flcstone.vn,"Tầng 5, tòa nhà FLC Landmark Tower, đường Lê Đức Thọ, Hà Nội, Việt Nam",www.flcstone.vn,Bán lẻ tổng hợp,HOSE,2015-06-16,"Công ty Cổ phần Đầu tư và Khoáng sản FLC AMD (AMD) có tiền thân là Công ty Cổ phần FIKOR Việt Nam được thành lập vào năm 2007. AMD Group tập trung vào cung cấp dịch vụ: đào tạo, tư vấn, và nghiên cứu về quản lý. Bằng việc kết hợp giữa khoa học quản lý tiên tiến của thế giới với những điều kiện thực tiễn tại Việt Nam, những giải pháp AMD Group đưa ra đã giúp khách hàng của mình đứng vững và phát triển trong bối cảnh nền kinh tế đang có những biến động lớn và đang phải chịu những ảnh hưởng không nhỏ từ cuộc khủng hoảng tài chính kéo theo suy thoái kinh tế toàn cầu. "
AME,Công ty Cổ phần Alphanam E&C,Alphanam E&C Joint Stock Company,Alphanam E&C,2006-11-17,+84 (24) 35587979,info@alphanam.com,"47 Vũ Trọng Phụng, phường Thanh Xuân Trung, quận Thanh Xuân, Hà Nội, Việt Nam",www.alphanam.com.vn,Thiết bị điện,HNX,2010-06-02,"Công ty Cổ phần Alphanam Cơ điện (AME) tiền thân là Công ty TNHH Alphanam, năm 2006 công ty chính thức chuyển sang hoạt động theo mô hình công ty cổ phần. Công ty chuyên sản xuất các thiết bị cơ điện như: Thiết bị đóng cắt, thiết bị bảo vệ dân dụng, các loại hòm công tơ điện, hộp chia dây, tủ điện trung áp, tủ đấu dây ngoài trời, tủ điện bảo vệ và hệ thông điều khiển và các sản phẩm cơ khí phụ vụ cho công tác Nhà thầu cơ điện của công ty. Sản phẩm của công ty hướng tới đối tượng khách hàng là các công ty điện lực, các dự án đầu tư công nghiệp, dân dụng và hạ tầng. Công ty hiện có một nhà máy đặt tại Khu công nghiệp ALPHANAM tại Phố Nối A, Trưng Trắc, Văn Lâm, Hưng Yên. Các đối thủ cạnh tranh chính của công ty bao gồm: Công ty Việt Á, Công ty Thiết bị điện Sài Gòn, Công ty Cổ phần Cơ điện REE, Công ty Cổ phần SEAREE tại Đà Nẵng, Công ty VIWASE, VINASEEN, Vina Link. "
AMV,Công ty Cổ phần Sản xuất kinh doanh dược và Trang thiết bị y tế Việt Mỹ,American Vietnamese Biotech Incorporation,T.bị y tế Việt Mỹ,2002-08-26,+84 (28) 13889034,,"Lầu 4, tòa nhà Phú Mã Dương, số 85 Hoàng Văn Thái, phường Tân Phú, Quận 7, TP Hồ Chí Minh, Việt Nam",http://www.amvibiotech.com/,Thiết bị y tế,HNX,2009-12-30,"Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị y tế Việt Mỹ được thành lập năm 2002 với vốn điều lệ ban đầu là 15 tỷ đồng. Công ty là doanh nghiệp trong nước đầu tiên xản xuất dòng sản phẩm sinh phẩm chẩn đoán nhanh. Các sản phẩm chính của công ty bao gồm test chẩn đoán nhanh sự thụ thai, chẩn đoán nhanh HIV, viên gan B, bệnh lao, giang mai. Trong đó test chẩn đoán nhanh sự thụ thai là loại sản phẩm chủ lực của Công ty và hiện đang được nhiều bệnh viện và các cơ sở y tế sử dụng. Hiện tại nhà máy của AMVI có một dây chuyền sản xuất trung bình tạo ra khoảng 200.000 sản phẩm/ tháng, năng suất của dây chuyền này có thể đạt tới 800.000 - 1.000.000 sản phẩm/ tháng. "
ANV,Công ty TNHH Amicogen Nam Việt,Amicogen Nam Viet Company Limited,Amicogen Nam Việt,2006-10-02,+84 (296) 3932486,,"19D Trần Hưng Đạo, P Mỹ Quý, TP Long Xuyên, An Giang, Việt Nam",www.navicorp.com.vn,Nông sản và thủy hải sản,HOSE,2007-12-07,"
Công ty Cổ phần Nam Việt - Navico tiền thân là Công ty TNHH Nam Việt thành lập năm 1993. Năm 2006 chuyển sang hoạt động theo mô hình cổ phần. Navico hoạt động trong lĩnh vực chế biến xuất khẩu các sản phẩm cá sa, cá ba tra và cá lóc.Sản phẩm của công ty đã có mặt trên 100 quốc gia trên thế giới như Nga, EU, Trung quốc, Úc Hoạt động sản xuất, kinh doanh chính của Công ty cổ phần Nam Việt là chế biến xuất khẩu các sản phẩm từ cá tra, cá basa chủ yếu phục vụ xuất khẩu. Thị trường XK của Công ty hiện nay là Nga, EU, Trung Quốc, Úc và hơn 40 nước trên thế giới. ANV hiện có 3 nhà máy với tổng công suất trên 120,000 tấn/năm. Sản phẩm kinh doanh của công ty chủ yếu là chế biến xuất khẩu các sản phẩm cá sa, cá ba tra và cá lóc. "
APC,Công ty Cổ phần Chiếu xạ An Phú,An Phu Irradiation Joint Stock Company,Chiếu xạ An Phú,2003-01-20,+84 (274) 3712292,api@apic.com.vn,"Số 119A/2, tổ 4,khu phố 1B, phường An Phú, thành phố Thuận An, Bình Dương, Việt Nam",www.apic.com.vn,Hóa chất đặc biệt,HOSE,2010-02-05,"
Công ty Cổ phần Chiếu xạ An Phú (APC) được thành lập vào năm 2003. Công ty hoạt động trong lĩnh vực chiếu xạ, cho thuê kho lạnh và các hoạt động khác. Công ty chủ yếu thực hiện chiếu xạ nhằm diệt vi sinh trên các mặt hàng như thủy hải sản, trái cây. 2 nhà máy chiếu xạ của Công ty có công suất thiết kế 250 tấn/ngày. Bên canh đó, Công ty có hệ thống kho lạnh 3.100 tấn có thể thực hiện dịch vụ trọn gói từ nhập kho - lưu trữ - chiếu xạ - xuất kho. APC được giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2010."
APG,Công ty Cổ phần Chứng khoán APG,APG Securities Joint Stock Company,Chứng khoán APG,2007-11-15,+84 (24) 39410277,anphat@apsi.vn,"Tầng 5, tòa nhà Grand Building, số 32 Hòa Mã, Hai Bà Trưng, Hà Nội, Việt Nam",www.apsi.com.vn,Dịch vụ đầu tư,HOSE,2016-11-30,"Công ty Cổ phần Chứng khoán An Phát (APG) được thành lập vào năm 2007. Công ty hoạt động trong lĩnh vực  môi giới chứng khoán, hoạt động đầu tư, hoạt động tư vấn và lưu ký chứng khoán. Tính đến cuối năm 2018, APG có tổng tài sản trị giá 149 tỷ đồng, trong đó 97,3 % là vốn chủ sở hữu. Trong năm 2018, Công ty đạt 16,77 tỷ đồng tổng doanh thu, 9,01 tỷ đồng lợi nhuận trước thuế, chiếm thị phần khá nhỏ trên thị trường chứng khoán Việt Nam. APG được niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2016."
APH,Công ty cổ phần Tập đoàn An Phát Holdings,An Phat Holdings Joint Stock Company,An Phát Holdings,2017-03-31,+84 (220) 2061199,info@anphatholdings.com,"Lô CN 11 + CN 12, cụm Công nghiệp An Đồng, Thị trấn Nam Sách, huyện Nam Sách, Hải Dương, Việt Nam",www.anphatholdings.com,Hóa chất cơ bản,HOSE,2020-07-28,
